100,22670.1,4.29626247788938
125,10034.8,4.56017060629011
150,5180.86,4.88766343811645
175,2953.28,5.22761133383899
200,1807.39,5.60565234952058
225,1165.09,5.90548369653846
250,782.487,6.22966260142341
275,543.03,6.52050531278198
300,386.936,6.81254781152439
325,281.911,7.10156751598909
350,209.439,7.37871170125908
375,158.06,7.65253701126155
400,121.013,7.94674125920356
425,93.771,8.24932015228589
450,73.4361,8.4957
475,58.0811,8.69482499470568
500,46.3533,8.98449517078611
525,37.2636,9.30567631683466
550,30.1656,9.54945368234015
575,24.5798,9.77156038698443
600,20.1372,10.1522555270842
625,16.5706,10.2709014761083
650,13.7303,10.4527213535028
675,11.3975,10.6985742487388
700,9.51032,10.94516
725,7.9595,11.1218418242352
750,6.69356,11.5034152229905
775,5.63562,11.614409772128
800,4.75843,11.8539308133145
825,4.02646,11.8804607521247
850,3.42026,12.0550776841527
875,2.90547,12.6057746251037
900,2.49667,12.5775132476459
925,2.12907,12.58813
950,1.8164,13.3606033913235
975,1.56893,13.8704722326681
1000,1.34352,13.0704418244611
1025,1.15949,13.4268514605559
1050,0.997903,13.335665
1075,0.86504,13.5991399241654
1100,0.740372,14.476236
1125,0.647288,14.1745714426963
1150,0.555594,14.9050025738219
1175,0.486863,13.2426575853988
1200,0.415851,13.9293160290585
1225,0.362455,15.5022830420328
1250,0.316975,14.667087
1275,0.276522,15.5574240024302
1300,0.240739,14.1049435280532
1325,0.20999,13.7272727272727
1350,0.185601,16.6913432578488
1375,0.161343,14.3214146259832
1400,0.131074,14.4060606985367
1425,0.121045,15.213846090297
1450,0.110889,15.6510564618673
1475,0.0906868,16.9212057
1500,0.0795585,16.3524953
1525,0.0694615,16.7705851
1550,0.0610387,17.5080727
1575,0.0531447,19.0018948
1600,0.0468796,20.1364986049369
1625,0.0413666,21.0369718565219
1650,0.0359383,21.7392030
1675,0.0313343,23.12124413183
1700,0.0271773,25.114636111755
1725,0.0239993,23.9655739959082
1750,0.0209773,24.8278377102868
1775,0.0183553,25.8549301836527
1800,0.0161098,27.1115718382599
1825,0.0139216,28.1979801172279
1850,0.0120539,31.2144617094882
1875,0.0104658,33.2238338206348
1900,0.00937288,31.86277857
1925,0.00814838,33.2777803686131
1950,0.00713734,34.23950659
1975,0.00621999,35.95134397
2000,0.00544778,38.02704955